manufacturer,model,nominal_power_kw,curve_id,T_source_in_C,T_sink_value_C,T_sink_convention,P_heat_kW,P_el_kW,COP,source_document,source_page,provenance,estimated_uncertainty_pct,data_quality,notes,source_flow_m3h,sink_flow_m3h,source_pump_kW,sink_pump_kW,source_operating_min_C,source_operating_max_C,sink_outlet_max_C
Heliopac,Solerpac-P25,25,T_eau_sortie_25C,-5.0,25,sink_out,17.2429,4.2964,4.0133,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P25,25,T_eau_sortie_35C,-5.0,35,sink_out,16.5667,4.7333,3.5,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P25,25,T_eau_sortie_45C,-5.0,45,sink_out,15.5608,5.5574,2.8,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P25,25,T_eau_sortie_55C,-5.0,55,sink_out,14.883,6.1331,2.4267,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P25,25,T_eau_sortie_25C,0.0,25,sink_out,18.7,4.2857,4.3633,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P25,25,T_eau_sortie_35C,0.0,35,sink_out,17.9667,4.9045,3.6633,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P25,25,T_eau_sortie_45C,0.0,45,sink_out,16.8758,5.5634,3.0333,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P25,25,T_eau_sortie_55C,0.0,55,sink_out,16.1407,6.1763,2.6133,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P25,25,T_eau_sortie_25C,5.0,25,sink_out,21.8571,4.4186,4.9467,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P25,25,T_eau_sortie_35C,5.0,35,sink_out,21.0,5.0562,4.1533,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",3.0,3.0,0.3,0.075,-12.0,75.0,55.0
